Texas, Palmer Z-Index
Base Period: 2000-2022
Missing: -99
Date,Value,Anomaly
200001,-2.06,-1.80
200002,-2.89,-2.38
200003,-0.32,-0.58
200004,-1.37,-0.90
200005,-2.93,-2.33
200006,0.84,1.22
200007,-4.06,-4.16
200008,-3.94,-4.05
200009,-3.00,-2.77
200010,1.62,1.26
200011,5.97,5.95
200012,1.75,1.93
200101,2.58,2.84
200102,1.16,1.67
200103,3.24,2.98
200104,-1.90,-1.43
200105,-0.72,-0.12
200106,-0.65,-0.27
200107,-2.67,-2.77
200108,1.35,1.24
200109,0.23,0.46
200110,-0.88,-1.24
200111,1.47,1.45
200112,0.71,0.89
200201,-1.03,-0.77
200202,-0.73,-0.22
200203,0.75,0.49
200204,-1.16,-0.69
200205,-2.49,-1.89
200206,-1.58,-1.20
200207,2.50,2.40
200208,-1.16,-1.27
200209,-0.24,-0.01
200210,4.60,4.24
200211,1.09,1.07
200212,3.07,3.25
200301,-0.23,0.03
200302,2.12,2.63
200303,-0.61,-0.87
200304,-1.80,-1.33
200305,-3.18,-2.58
200306,1.24,1.62
200307,-0.29,-0.39
200308,-0.70,-0.81
200309,1.31,1.54
200310,0.05,-0.31
200311,-1.06,-1.08
200312,-2.12,-1.94
200401,-0.31,-0.05
200402,1.41,1.92
200403,0.19,-0.07
200404,2.47,2.94
200405,-1.23,-0.63
200406,4.91,5.29
200407,2.20,2.10
200408,2.62,2.51
200409,-0.42,-0.19
200410,1.39,1.03
200411,6.84,6.82
200412,0.16,0.34
200501,1.22,1.48
200502,1.91,2.42
200503,0.54,0.28
200504,-1.51,-1.04
200505,-0.27,0.33
200506,-1.82,-1.44
200507,0.01,-0.09
200508,1.52,1.41
200509,-2.97,-2.74
200510,-0.51,-0.87
200511,-2.46,-2.48
200512,-2.40,-2.22
200601,-2.54,-2.28
200602,-2.02,-1.51
200603,-0.72,-0.98
200604,-3.10,-2.63
200605,-3.82,-3.22
200606,-3.37,-2.99
200607,-1.80,-1.90
200608,-0.80,-0.91
200609,0.41,0.64
200610,1.71,1.35
200611,-1.84,-1.86
200612,0.75,0.93
200701,3.00,3.26
200702,-1.26,-0.75
200703,3.68,3.42
200704,0.82,1.29
200705,3.69,4.29
200706,4.69,5.07
200707,7.99,7.89
200708,5.76,5.65
200709,-0.06,0.17
200710,-1.59,-1.95
200711,-1.06,-1.08
200712,-1.08,-0.90
200801,-1.40,-1.14
200802,-1.80,-1.29
200803,0.59,0.33
200804,-0.79,-0.32
