Contiguous U.S., Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.95,-1.18
199002,1.75,1.69
199003,-0.39,-0.27
199004,-0.44,-0.58
199005,3.19,3.13
199006,-1.50,-1.66
199007,0.59,0.33
199008,0.26,0.08
199009,-2.02,-2.07
199010,1.72,1.58
199011,-0.80,-0.79
199012,0.78,0.76
199101,1.02,0.79
199102,-1.78,-1.84
199103,1.94,2.06
199104,2.04,1.90
199105,1.68,1.62
199106,-0.15,-0.31
199107,0.31,0.05
199108,-0.09,-0.27
199109,0.15,0.10
199110,-0.21,-0.35
199111,0.85,0.86
199112,0.99,0.97
199201,0.51,0.28
199202,0.16,0.10
199203,-1.00,-0.88
199204,-1.69,-1.83
199205,-2.03,-2.09
199206,1.68,1.52
199207,3.39,3.13
199208,2.74,2.56
199209,0.02,-0.03
199210,-1.08,-1.22
199211,3.34,3.35
199212,3.13,3.11
199301,4.14,3.91
199302,0.86,0.80
199303,0.90,1.02
199304,1.73,1.59
199305,-0.09,-0.15
199306,2.58,2.42
199307,3.06,2.80
199308,2.01,1.83
199309,1.10,1.05
199310,0.76,0.62
199311,0.96,0.97
199312,0.39,0.37
199401,1.11,0.88
199402,0.77,0.71
199403,-1.40,-1.28
199404,0.46,0.32
199405,-1.44,-1.50
199406,-0.73,-0.89
199407,0.23,-0.03
199408,-0.45,-0.63
199409,-1.27,-1.32
199410,1.90,1.76
199411,1.85,1.86
199412,0.59,0.57
199501,3.35,3.12
199502,-1.45,-1.51
199503,0.89,1.01
199504,1.64,1.50
199505,4.03,3.97
199506,1.45,1.29
199507,0.93,0.67
199508,0.14,-0.04
199509,-0.71,-0.76
199510,1.30,1.16
199511,0.58,0.59
199512,0.41,0.39
199601,2.17,1.94
199602,-0.38,-0.44
199603,-0.26,-0.14
199604,0.43,0.29
199605,0.94,0.88
199606,-0.33,-0.49
199607,1.35,1.09
199608,0.54,0.36
199609,3.34,3.29
199610,1.35,1.21
199611,3.26,3.27
